# 從《墨子引得》謄錄出來
炎	2/69690
炙	4/82690
爭	3/22752
版	5/22840
牧	5/25940
物	5/25720
狀	5/27390
狎	5/42854
狐	5/42890
狗	5/42221
疚	4/02290
盂	3/73873
盲	3/01238
直	3/30274
知	5/99881
社	5/06370
祀	5/06811
秆	5/26730
秉	1/20602
空	3/02970
罔	2/82910
股	5/82842
肢	5/82342
肺	5/82502
肥	5/82814
肩	4/02823
肯	3/27822
肱	5/82362
育	3/01622
肸	5/82932
臥	5/87903
臾	1/89390
舍	2/90281
芟	3/33840
芫	3/33110
芬	3/33920
芳	3/33020
芸	3/33160
虎	3/70810
表	3/57990
迎	2/09820
近	2/09820
邸	5/83820
采	3/22360
金	2/90770
長	3/87290
門	5/82824
阜	3/28302
阿	5/82721
附	5/82930
值	5/90270
雨	2/72000
青	3/57822
非	5/70700
亭	3/01821
侮	5/90950
侯	5/90190
侵	5/90140
便	5/90744
係	5/90260
俄	5/90250
俔	5/90813
俗	5/90981
俚	5/90874
?	5/90212
保	5/90861
俞	2/90122
俟	5/90690
倍	5/90081
冠	3/02110
剃	5/92222
則	5/89223
削	5/62222
前	3/91822
勁	5/17320
勇	3/10824
勉	2/21322
南	3/30820
四	5/21822
卻	5/98821
厚	4/12832
叛	5/65840
咨	3/19881
咷	5/88011
咸	2/50181
哀	3/01891
品	3/88883
哆	5/88221
哉	2/35881
呲	5/88211
垣	5/37112
奏	2/59790
契	3/52390
奔	2/39330
姧	5/34730
姦	3/34340
威	2/50740
孩	5/13090
客	3/02281
宣	3/02112
室	3/02770
封	5/37300
屋	4/82771
屍	4/82711
巷	3/37911
帝	3/01930
幽	2/28660
度	4/02341
建	2/14502
拿	2/90131
弭	5/12733
待	5/29330
後	5/29640
徇	5/29222
怒	3/34010
思	3/88014
怠	3/60811
急	3/22110
怨	3/21010
恃	5/60330
恒	5/60112
恢	5/60890
恤	5/60273
恨	5/60892
恬	5/60281
扁	4/22123
拜	5/25750
括	5/50281
拱	5/50391
持	5/50330
指	5/50782
挑	5/50010
抗	5/50210
故	5/38941
斫	5/78821
施	5/02910
星	3/88272
春	2/59882
昧	5/88562
昫	5/88223
昭	5/88783
是	3/88792
昵	5/88813
枱	5/36681
枲	3/60861
柄	5/36720
柂	5/36910
柏	5/36282
某	3/38362
染	3/01360
柔	3/10760
柱	5/36070
柰	3/36160
柳	5/36820
柴	3/21360
殆	5/72681
段	5/83840
泉	3/28262
?	2/59260
洋	5/01950
洒	5/01781
洞	5/01821
津	5/01502
洩	5/01504
洫	5/01273
?	5/01980		[氵缶]
洲	5/01220
活	5/01281
炭	3/28390
爰	3/22740
牲	5/25270
狡	5/42040
珍	5/77920
玲	5/77920
?	2/90610
甚	3/37213
界	3/88924
畋	5/88944
畏	3/88794
疫	4/02840
癸	2/19790
皆	3/71282
皇	3/28772
盆	2/90773
盈	3/72873
相	5/36883
盾	4/22383
盼	5/88923
省	4/62883
眉	4/82885
矜	5/12920
矧	5/99120
祇	5/06830
祈	5/06820
禹	2/22602
秋	5/26690
耗	5/26210
穿	3/02931
突	3/02990
竿	3/66730
竽	3/66730
和	5/66811
紀	5/66811
紂	5/66300
約	5/66220
?	3/82873
美	3/91390
羿	3/72330
者	4/33882
耶	5/77823
冑	3/58826
背	3/71822
胡	5/38823
胥	3/79822
胝	5/82832
致	5/77940
苗	3/33884
苙	3/33010
苣	3/33711
苛	3/33721
苟	3/33221
若	3/33381
苦	3/33381
苫	3/33781
英	3/33592
苴	3/33873
茂	3/33500
范	3/33010
茅	3/33120
?	3/33220
虐	3/70810
虵	5/56312
虺	2/71562
䖟	3/01262
?	5/56722
衍	5/29020
要	3/78344
貞	3/70893
負	3/22893
軍	3/02504
迫	2/09282
述	2/09310
郊	5/04820
重	1/20704
酋	2/90782
降	5/82251
陌	5/82782
面	3/72885
革	3/38503
